Gender,Name,TV show,YearStart,YearEnd
M,Adrian,Monk,2002,2009
M,Angus,MacGyver,1985,1992
M,Axl,The Middle,2009,2016
M,Bertram,Mad Men,2007,2015
M,Boone,Lost,2004,2010
M,Bran,Game of Thrones,2011,2016
M,Caleb,Pretty Little Liars,2010,2016
M,Cameron,Modern Family,2009,2016
M,Cary,The Good Wife,2009,2016
M,Chandler,Friends,1994,2004
M,Creed,The Office,2005,2013
M,Cyrus,Scandal,2012,2016
M,Dixon,90210,2008,2013
M,Don,Mad Men,2007,2015
M,Ezra,Pretty Little Liars,2010,2016
M,Fox,The X Files,1993,2016
M,Frasier,Frasier,1993,2004
M,Gil,CSI,2000,2015
M,Glenn,The Walking Dead,2010,2016
M,Gregory,House,2004,2010
M,Huck,Scandal,2012,2016
M,Jaime,Game of Thrones,2011,2016
M,Jay,Modern Family,2009,2016
M,Joey,Friends,1994,2004
M,Jon,Game of Thrones,2011,2016
M,Landry,Friday Night Lights,2006,2011
M,Leonard,The Big Bang Theory,2007,2016
M,Mitchell,Modern Family,2009,2016
M,Oliver,Arrow,2012,2016
M,Phil,Modern Family,2009,2016
M,Rick,The Walking Dead,2010,2016
M,Rupert,Buffy the Vampire Slayer,1997,2003
M,Saul,Better Call Saul/ Breaking Bad,2008,2013
M,Sawyer,Lost,2004,2010
M,Shane,Weeds,2005,2012
M,Sheldon,The Big Bang Theory,2007,2016
M,Stanford,Sex and the City,1998,2004
M,Tyrion,Game of Thrones,2011,2016
M,Will,The Good Wife,2009,2016
F,Abby,Scandal,2012,2016
F,Alex,Modern Family,2009,2016
F,Alicia,The Good Wife,2009,2016
F,Arya,Game of Thrones,2011,2016
F,Bernadette,The Big Bang Theory,2007,2016
F,Betty,Mad Men,2007,2015
F,Bree,Desperate Housewives,2004,2012
F,Carmela,The Sopranos,1999,2007
F,Carrie,Sex and The City,1998,2004
F,Cersei,Game of Thrones,2011,2016
F,Claire,Modern Family,2009,2016
F,Cora,Downton Abbey,2010,2015
F,Daenerys,Game of Thrones,2011,2016
F,Daisy,Downton Abbey,2010,2015
F,Edie,Desperate Housewives,2004,2012
F,Elaine,Seinfeld,1989,1998
F,Elliot,Scrubs,2001,2010
F,Gabrielle,Desperate Housewives,2004,2012
F,Gloria,Modern Family,2009,2016
F,Grace,The Good Wife,2009,2016
F,Haley,Modern Family,2009,2016
F,Hannah,Girls,2012,2016
F,Izzie,Grey's Anatomy,2005,2016
F,Jenna,Pretty Little Liars,2010,2016
F,Joan,Mad Men,2007,2015
F,Kalinda,The Good Wife,2009,2016
F,Kara,Battlestar Galactica,2004,2009
F,Kono,Hawaii Five-O,2010,2016
F,Laurel,Arrow,2012,2016
F,Lainie,Castle,2009,2016
F,Leslie,Parks and Recreation,2009,2015
F,Maggie,The Walking Dead,2010,2016
F,Marnie,Girls,2012,2016
F,Michonne,The Walking Dead,2010,2016
F,Nadia,24,2001,2010
F,Olivia,Scandal,2012,2016
F,Penny,The Big Bang Theory,2007,2016
F,Peyton,One Tree Hill,2003,2012
F,Remy,House,2004,2010
F,Phoebe,Friends,1994,2004
F,Roseanne,Roseanne,1988,1997
F,Sansa,Game of Thrones,2011,2016
F,Skyler,Breaking Bad,2008,2013
F,Spencer,Pretty Little Liars,2010,2016
F,Sun,Lost,2004,2010
F,Temperance,Bones,2005,2016
F,Tyra,Friday Night Lights,2006,2011
F,Violet,Downton Abbey,2010,2015
F,Ziva,NCIS,2003,2016
